סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0 ,לא רשום ,0 ,לא ידוע ,0 , ,0 , ,37478 ,3926 ,5056 ,1515 ,487 ,623 ,25871
7 ,שחר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,746 ,44 ,174 ,249 ,95 ,85 ,99
10 ,תירוש ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,415 ,32 ,58 ,153 ,42 ,55 ,75
11 ,ניר ח"ן ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,609 ,38 ,123 ,191 ,86 ,59 ,112
13 ,חצבה ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,829 ,50 ,212 ,254 ,121 ,42 ,150
15 ,נועם ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,444 ,30 ,89 ,158 ,55 ,41 ,71
16 ,בית ניר ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,761 ,40 ,170 ,249 ,118 ,90 ,94
18 ,שדה משה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,646 ,51 ,175 ,201 ,83 ,42 ,94
21 ,באר אורה ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,1293 ,61 ,377 ,433 ,251 ,111 ,60
22 ,מקווה ישראל ,53 ,חולון ,53 ,חולון ,0 , ,185 ,15 ,32 ,64 ,26 ,14 ,34
23 ,אמציה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,203 ,16 ,36 ,71 ,27 ,18 ,35
24 ,לכיש ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,877 ,60 ,173 ,297 ,106 ,130 ,111
26 ,ראש פינה ,21 ,צפת ,21 ,צפת ,0 , ,3454 ,184 ,674 ,1121 ,439 ,352 ,684
27 ,שדות מיכה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,349 ,13 ,82 ,116 ,42 ,36 ,60
28 ,מזכרת בתיה ,44 ,רחובות ,44 ,רחובות ,0 , ,17548 ,1047 ,4488 ,5681 ,2654 ,1577 ,2101
29 ,יסוד המעלה ,21 ,צפת ,21 ,צפת ,0 , ,1840 ,121 ,332 ,641 ,238 ,203 ,305
31 ,אופקים ,62 ,באר שבע ,62 ,באר שבע ,0 , ,44197 ,6097 ,10863 ,16451 ,3623 ,2781 ,4382
32 ,עוצם ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,691 ,62 ,162 ,230 ,70 ,82 ,85
33 ,בת שלמה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,654 ,51 ,142 ,212 ,92 ,59 ,98
35 ,גדות ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,583 ,51 ,126 ,171 ,66 ,48 ,121
36 ,שדה דוד ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,700 ,54 ,187 ,239 ,84 ,49 ,87
37 ,איתן ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,829 ,123 ,241 ,297 ,57 ,42 ,69
39 ,גפן ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,407 ,42 ,92 ,129 ,53 ,31 ,60
41 ,אליכין ,41 ,השרון ,32 ,חדרה ,0 , ,3697 ,257 ,722 ,1290 ,410 ,432 ,586
43 ,מטולה ,21 ,צפת ,21 ,צפת ,0 , ,2187 ,123 ,255 ,1073 ,217 ,178 ,341
44 ,זוהר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,333 ,21 ,84 ,101 ,38 ,19 ,70
46 ,יבנאל ,22 ,כנרת ,22 ,טבריה ,0 , ,5031 ,659 ,1520 ,1567 ,460 ,317 ,508
47 ,כפר תבור ,22 ,כנרת ,22 ,טבריה ,0 , ,4900 ,258 ,1134 ,1494 ,685 ,487 ,842
48 ,מנחמיה ,22 ,כנרת ,22 ,טבריה ,7 ,עמק המעיינות ,1295 ,90 ,230 ,444 ,141 ,115 ,275
49 ,אילניה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,589 ,30 ,93 ,212 ,71 ,75 ,108
52 ,לוזית ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,905 ,60 ,281 ,274 ,145 ,74 ,71
53 ,עתלית ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,12307 ,1071 ,3401 ,3917 ,1691 ,783 ,1444
55 ,נוגה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,569 ,30 ,115 ,173 ,87 ,57 ,107
57 ,כנרת )קבוצה( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,915 ,55 ,167 ,286 ,128 ,91 ,188
58 ,מצפה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,143 ,5 ,20 ,48 ,16 ,17 ,37
59 ,נחושה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1509 ,91 ,456 ,568 ,254 ,77 ,63
62 ,דגניה א' ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,726 ,42 ,127 ,229 ,87 ,63 ,178
63 ,כנרת )מושבה( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,700 ,45 ,91 ,245 ,73 ,79 ,167
64 ,יד רמב"ם ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1238 ,115 ,225 ,432 ,148 ,127 ,191
65 ,מגדל ,22 ,כנרת ,22 ,טבריה ,0 , ,2280 ,191 ,496 ,793 ,230 ,214 ,356
66 ,מרחביה )קיבוץ( ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1490 ,95 ,346 ,447 ,242 ,108 ,252
67 ,אור הנר ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,1151 ,110 ,271 ,413 ,155 ,62 ,140
69 ,ניר עוז ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,430 ,16 ,104 ,151 ,41 ,39 ,79
70 ,אשדוד ,61 ,אשקלון ,69 ,אשדוד ,0 , ,261059 ,21896 ,51828 ,82983 ,30136 ,24238 ,49978
71 ,אשבול ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,709 ,51 ,199 ,231 ,104 ,55 ,69
72 ,גן שמואל ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1266 ,84 ,245 ,360 ,167 ,116 ,294
74 ,עין הוד ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,698 ,29 ,127 ,203 ,107 ,96 ,136
76 ,כפר גלעדי ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,819 ,28 ,127 ,279 ,116 ,86 ,183
77 ,איילת השחר ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1164 ,49 ,230 ,336 ,165 ,133 ,251
78 ,קרית ענבים ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,576 ,43 ,142 ,172 ,73 ,62 ,84
79 ,דגניה ב' ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,860 ,51 ,174 ,265 ,119 ,98 ,153
80 ,נהלל ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1438 ,135 ,381 ,464 ,183 ,86 ,189
82 ,עין חרוד )מאוחד( ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1031 ,74 ,212 ,292 ,154 ,78 ,221
84 ,תל יוסף ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,624 ,46 ,151 ,182 ,90 ,40 ,115
85 ,כפר יחזקאל ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1276 ,109 ,313 ,431 ,181 ,79 ,163
86 ,גבע ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,713 ,40 ,128 ,232 ,72 ,69 ,172
88 ,כרם בן שמן ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,100 ,7 ,26 ,21 ,14 ,8 ,24
89 ,עין חרוד )איחוד( ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,723 ,39 ,132 ,188 ,92 ,77 ,195
90 ,חפצי-בה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,921 ,37 ,218 ,267 ,145 ,70 ,184
92 ,גיניגר ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,903 ,55 ,215 ,244 ,138 ,67 ,184
94 ,בלפוריה ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,609 ,53 ,151 ,184 ,90 ,41 ,90
95 ,בית אלפא ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1203 ,92 ,273 ,401 ,122 ,83 ,232
96 ,יגור ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,1892 ,100 ,359 ,620 ,293 ,157 ,363
97 ,מרחביה )מושב( ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,763 ,42 ,127 ,273 ,79 ,97 ,145
98 ,כפר מל"ל ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,356 ,17 ,63 ,96 ,50 ,37 ,93
99 ,מצפה רמון ,62 ,באר שבע ,62 ,באר שבע ,0 , ,6010 ,698 ,1204 ,2379 ,591 ,437 ,701
102 ,מאיר שפיה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,168 ,2 ,37 ,77 ,22 ,5 ,25
103 ,תל עדשים ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1311 ,59 ,313 ,441 ,214 ,135 ,149
104 ,מזרע ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1043 ,78 ,218 ,274 ,129 ,98 ,246
106 ,כפר גדעון ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,379 ,44 ,108 ,129 ,39 ,13 ,46
107 ,כפר סילבר ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,144 ,9 ,18 ,66 ,30 ,8 ,13
112 ,כפר חסידים א' ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,809 ,67 ,193 ,246 ,101 ,61 ,141
113 ,אדירים ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,354 ,28 ,73 ,124 ,44 ,36 ,49
115 ,חופית ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1029 ,53 ,195 ,304 ,150 ,122 ,205
122 ,רמת ישי ,23 ,עפולה ,23 ,עפולה ,0 , ,8573 ,497 ,1805 ,2782 ,1137 ,774 ,1578
126 ,שריד ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1172 ,46 ,257 ,301 ,200 ,106 ,262
127 ,רמת רחל ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,561 ,28 ,144 ,154 ,82 ,44 ,109
128 ,גת רימון ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,251 ,11 ,47 ,73 ,43 ,17 ,60
130 ,משמר העמק ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1448 ,92 ,255 ,431 ,222 ,147 ,301
132 ,כפר ברוך ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,848 ,48 ,279 ,253 ,140 ,40 ,88
133 ,גבת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1124 ,80 ,264 ,299 ,181 ,68 ,232
134 ,יפעת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1345 ,71 ,294 ,398 ,227 ,115 ,240
135 ,רמת דוד ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,739 ,60 ,191 ,214 ,125 ,38 ,111
139 ,עין שמר ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1085 ,84 ,246 ,341 ,138 ,63 ,213
140 ,כפר יהושע ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1287 ,92 ,264 ,427 ,172 ,153 ,179
141 ,ברק ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,446 ,43 ,74 ,160 ,52 ,37 ,80
142 ,שדה יעקב ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1129 ,91 ,301 ,385 ,150 ,57 ,145
143 ,בית זרע ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,863 ,60 ,155 ,272 ,115 ,62 ,199
144 ,גן שלמה ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר ,675 ,47 ,178 ,188 ,100 ,49 ,113
145 ,גדיש ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,399 ,29 ,76 ,142 ,40 ,62 ,50
146 ,דבורה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,347 ,29 ,80 ,98 ,37 ,39 ,64
147 ,גבעת ברנר ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר ,2800 ,130 ,543 ,795 ,504 ,293 ,535
154 ,תל מונד ,41 ,השרון ,41 ,נתניה ,0 , ,16596 ,1020 ,4046 ,5501 ,2438 ,1790 ,1801
155 ,באר טוביה ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1282 ,80 ,343 ,380 ,199 ,118 ,162
156 ,עיינות ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,196 ,20 ,24 ,128 ,11 ,6 ,7
157 ,עין ורד ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1605 ,92 ,333 ,509 ,256 ,186 ,229
158 ,נען ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,2068 ,150 ,481 ,591 ,347 ,145 ,354
159 ,בית חנן ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,657 ,47 ,110 ,175 ,96 ,77 ,152
160 ,חולדה ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1392 ,87 ,461 ,370 ,266 ,78 ,130
162 ,חירות ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1354 ,70 ,275 ,441 ,201 ,179 ,188
163 ,תימורים ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,823 ,77 ,130 ,275 ,80 ,109 ,152
164 ,מלאה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,388 ,36 ,80 ,136 ,46 ,29 ,61
165 ,ניר יפה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,719 ,40 ,169 ,237 ,141 ,33 ,99
166 ,גן יבנה ,44 ,רחובות ,44 ,רחובות ,0 , ,27577 ,1968 ,6074 ,9855 ,3910 ,2838 ,2932
167 ,עין החורש ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1014 ,55 ,219 ,268 ,158 ,70 ,244
168 ,כפר יונה ,41 ,השרון ,41 ,נתניה ,0 , ,30608 ,2528 ,7075 ,10352 ,4334 ,2460 ,3859
170 ,כפר יעבץ ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,854 ,97 ,210 ,299 ,83 ,76 ,89
171 ,פרדסיה ,41 ,השרון ,41 ,נתניה ,0 , ,8425 ,583 ,1970 ,2714 ,1101 ,685 ,1372
173 ,גבעת חיים )מאוחד( ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1316 ,71 ,251 ,391 ,205 ,117 ,281
174 ,נטעים ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,790 ,48 ,138 ,270 ,113 ,105 ,116
175 ,אביחיל ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1384 ,90 ,294 ,392 ,198 ,131 ,279
176 ,אפיקים ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,1442 ,79 ,245 ,427 ,200 ,135 ,356
177 ,כפר ביל"ו ,44 ,רחובות ,44 ,רחובות ,30 ,גזר ,1165 ,93 ,226 ,355 ,136 ,131 ,224
178 ,רמת יוחנן ,31 ,חיפה ,27 ,קריות ,12 ,זבולון ,1324 ,98 ,274 ,455 ,153 ,108 ,236
182 ,אבן יהודה ,41 ,השרון ,41 ,נתניה ,0 , ,16183 ,848 ,3891 ,4875 ,2667 ,1424 ,2478
183 ,ירקונה ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,388 ,20 ,49 ,142 ,42 ,72 ,63
184 ,רמת הכובש ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1151 ,75 ,249 ,319 ,179 ,80 ,249
186 ,נעורים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,217 ,9 ,49 ,74 ,26 ,21 ,38
187 ,כפר הס ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1468 ,83 ,296 ,474 ,208 ,212 ,195
188 ,אשדות יעקב )מאוחד( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,931 ,58 ,212 ,288 ,133 ,66 ,174
189 ,כפר פינס ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,712 ,96 ,213 ,213 ,55 ,44 ,91
190 ,כפר ויתקין ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1979 ,132 ,382 ,677 ,253 ,228 ,307
191 ,הדר עם ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,809 ,34 ,201 ,239 ,133 ,84 ,118
192 ,כפר החורש ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,823 ,68 ,222 ,240 ,105 ,45 ,143
193 ,כפר חיים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,609 ,46 ,120 ,163 ,97 ,56 ,127
194 ,משמר השרון ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,847 ,55 ,209 ,239 ,109 ,76 ,159
195 ,קדימה-צורן ,41 ,השרון ,41 ,נתניה ,0 , ,23939 ,1452 ,5424 ,7893 ,3535 ,2740 ,2895
196 ,גיבתון ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר ,441 ,24 ,103 ,119 ,67 ,38 ,90
197 ,מעברות ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1072 ,60 ,217 ,289 ,159 ,88 ,259
198 ,צופית ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1090 ,43 ,226 ,317 ,167 ,163 ,174
199 ,אשדות יעקב )איחוד( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,1006 ,42 ,240 ,308 ,185 ,75 ,156
200 ,בית ינאי ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,428 ,11 ,90 ,104 ,66 ,61 ,96
202 ,בית עובד ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,363 ,33 ,60 ,114 ,45 ,36 ,75
204 ,אלישיב ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,716 ,60 ,154 ,217 ,103 ,60 ,122
205 ,חגלה ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,840 ,43 ,195 ,259 ,142 ,118 ,83
206 ,רמות השבים ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1744 ,136 ,311 ,557 ,224 ,196 ,320
207 ,גבעת ח"ן ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,417 ,32 ,85 ,121 ,51 ,34 ,94
208 ,מוצא עילית ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,1654 ,86 ,280 ,474 ,178 ,186 ,450
212 ,בית צבי ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,98 ,15 ,30 ,47 ,2 ,1 ,3
213 ,משמרות ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1384 ,66 ,490 ,355 ,293 ,74 ,106
217 ,כפר הרא"ה ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,1328 ,155 ,342 ,422 ,157 ,83 ,169
218 ,גני עם ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,269 ,17 ,31 ,73 ,31 ,44 ,73
219 ,חיבת ציון ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,995 ,85 ,296 ,302 ,125 ,71 ,116
220 ,כפר ביאליק ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,643 ,46 ,140 ,181 ,94 ,55 ,127
223 ,עין עירון ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,584 ,45 ,120 ,190 ,82 ,57 ,90
224 ,שושנת העמקים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,582 ,37 ,110 ,187 ,72 ,51 ,125
225 ,גן השומרון ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,947 ,71 ,190 ,306 ,126 ,82 ,172
229 ,גני תקווה ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,26581 ,2118 ,6210 ,7948 ,3684 ,2048 ,4573
230 ,מעש ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,959 ,64 ,200 ,268 ,138 ,81 ,208
232 ,שפיים ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1617 ,142 ,317 ,514 ,221 ,144 ,279
233 ,כפר ידידיה ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,756 ,34 ,163 ,225 ,129 ,81 ,124
234 ,ביצרון ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1214 ,71 ,271 ,365 ,172 ,128 ,207
235 ,חבצלת השרון ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,458 ,17 ,83 ,109 ,73 ,50 ,126
237 ,שער העמקים ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,853 ,62 ,182 ,234 ,116 ,74 ,185
239 ,גן חיים ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,714 ,45 ,131 ,220 ,88 ,89 ,141
240 ,יקנעם עילית ,23 ,עפולה ,23 ,עפולה ,0 , ,27741 ,1754 ,5499 ,9663 ,3949 ,2766 ,4110
241 ,יקנעם )מושבה( ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1476 ,112 ,294 ,435 ,222 ,113 ,300
242 ,בית השיטה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1547 ,71 ,347 ,373 ,270 ,158 ,328
246 ,נתיבות ,62 ,באר שבע ,62 ,באר שבע ,0 , ,60538 ,9747 ,15952 ,23162 ,4385 ,3076 ,4216
247 ,רשפון ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1401 ,109 ,339 ,416 ,210 ,132 ,195
248 ,בית שערים ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,725 ,31 ,186 ,201 ,126 ,55 ,126
249 ,כפר סירקין ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,1486 ,81 ,378 ,413 ,247 ,147 ,220
250 ,הזורע ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1313 ,77 ,203 ,378 ,173 ,106 ,376
252 ,ביתן אהרן ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,327 ,22 ,41 ,64 ,33 ,13 ,154
253 ,חולתה ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,914 ,96 ,245 ,311 ,104 ,44 ,114
254 ,כפר המכבי ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,541 ,57 ,110 ,183 ,55 ,44 ,92
255 ,כפר חיטים ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,651 ,31 ,115 ,211 ,103 ,82 ,109
256 ,ניר דוד )תל עמל( ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,1010 ,68 ,226 ,290 ,147 ,84 ,195
257 ,נופך ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,636 ,81 ,136 ,219 ,66 ,58 ,76
259 ,שדה נחום ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,1269 ,90 ,332 ,422 ,221 ,101 ,103
262 ,גינוסר ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,811 ,57 ,143 ,220 ,115 ,63 ,213
263 ,מסדה ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,424 ,36 ,78 ,158 ,46 ,31 ,75
264 ,שער הגולן ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,625 ,20 ,94 ,178 ,78 ,60 ,195
265 ,בית יוסף ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,534 ,52 ,97 ,201 ,47 ,60 ,77
267 ,כפר שמריהו ,51 ,תל אביב ,57 ,הרצליה ,0 , ,2575 ,119 ,443 ,700 ,320 ,289 ,704
268 ,טירת צבי ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,1107 ,117 ,354 ,361 ,115 ,34 ,126
269 ,מולדת ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1240 ,64 ,268 ,425 ,187 ,126 ,170
270 ,עין השופט ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1279 ,37 ,217 ,400 ,167 ,103 ,355
272 ,מעוז חיים ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,653 ,36 ,112 ,238 ,78 ,55 ,134
273 ,עין גב ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,667 ,43 ,126 ,206 ,80 ,47 ,165
274 ,כפר מנחם ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,1472 ,64 ,348 ,430 ,297 ,150 ,183
276 ,צור משה ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,2807 ,145 ,591 ,947 ,523 ,330 ,271
278 ,אושה ,31 ,חיפה ,27 ,קריות ,12 ,זבולון ,707 ,55 ,194 ,199 ,89 ,56 ,114
280 ,חניתה ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,996 ,34 ,189 ,276 ,169 ,108 ,220
281 ,פקיעין חדשה ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,626 ,76 ,156 ,228 ,62 ,48 ,56
282 ,שבי ציון ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1486 ,96 ,353 ,448 ,256 ,112 ,221
284 ,שדה ורבורג ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1409 ,88 ,282 ,436 ,221 ,160 ,222
285 ,אלונים ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,882 ,80 ,195 ,263 ,88 ,61 ,195
286 ,מעלה החמישה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,982 ,73 ,264 ,266 ,156 ,65 ,158
287 ,תל יצחק ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,937 ,53 ,139 ,161 ,86 ,52 ,446
288 ,בית יהושע ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1195 ,96 ,264 ,377 ,184 ,117 ,157
289 ,עין המפרץ ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1058 ,64 ,193 ,312 ,157 ,90 ,242
290 ,מעין צבי ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,1002 ,53 ,191 ,268 ,131 ,100 ,259
292 ,שרונה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,673 ,22 ,185 ,193 ,110 ,47 ,116
293 ,שדה יואב ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,672 ,34 ,205 ,195 ,112 ,48 ,78
294 ,אילון ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1277 ,67 ,281 ,400 ,222 ,123 ,184
