סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
2061 ,תדהר ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,763 ,61 ,238 ,261 ,91 ,63 ,49
2062 ,תאשור ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,453 ,38 ,95 ,161 ,39 ,52 ,68
2063 ,דישון ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,418 ,42 ,50 ,170 ,32 ,40 ,84
2064 ,זרועה ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,592 ,61 ,160 ,197 ,66 ,51 ,57
2100 ,טירת כרמל ,31 ,חיפה ,31 ,חיפה ,0 , ,34090 ,3002 ,6510 ,11903 ,3792 ,2840 ,6043
2200 ,דימונה ,62 ,באר שבע ,62 ,באר שבע ,0 , ,43488 ,3954 ,8363 ,15436 ,4756 ,4039 ,6940
2300 ,קרית טבעון ,31 ,חיפה ,31 ,חיפה ,0 , ,21211 ,1399 ,3897 ,6473 ,2792 ,2074 ,4576
2400 ,אור יהודה ,52 ,רמת גן ,52 ,רמת גן ,0 , ,42768 ,3901 ,8269 ,14875 ,4823 ,3861 ,7039
2500 ,נשר ,31 ,חיפה ,31 ,חיפה ,0 , ,25230 ,1413 ,3507 ,8379 ,3192 ,2703 ,6036
2530 ,באר יעקב ,43 ,רמלה ,43 ,רמלה ,0 , ,39163 ,4464 ,10881 ,13923 ,4446 ,2073 ,3376
2550 ,גדרה ,44 ,רחובות ,44 ,רחובות ,0 , ,31971 ,2437 ,7767 ,10718 ,4746 ,2607 ,3696
2560 ,ערד ,62 ,באר שבע ,62 ,באר שבע ,0 , ,35742 ,4674 ,7895 ,10985 ,3335 ,2717 ,6136
2600 ,אילת ,62 ,באר שבע ,63 ,אילת ,0 , ,70468 ,3850 ,10946 ,26032 ,9953 ,7918 ,11769
2610 ,בית שמש ,11 ,ירושלים ,13 ,בית שמש ,0 , ,199376 ,37828 ,65290 ,68894 ,11491 ,6794 ,9079
2620 ,קרית אונו ,52 ,רמת גן ,52 ,רמת גן ,0 , ,49506 ,3505 ,10298 ,15204 ,7455 ,4266 ,8778
2630 ,קרית גת ,61 ,אשקלון ,61 ,אשקלון ,0 , ,79349 ,9822 ,17892 ,28189 ,6832 ,5449 ,11165
2640 ,ראש העין ,42 ,פתח תקווה ,349 ,ראש העין ,0 , ,81114 ,8563 ,19386 ,28786 ,8771 ,6511 ,9097
2650 ,רמת השרון ,51 ,תל אביב ,57 ,הרצליה ,0 , ,53975 ,3005 ,10617 ,14716 ,8153 ,5365 ,12119
2660 ,יבנה ,44 ,רחובות ,44 ,רחובות ,0 , ,60604 ,5796 ,15150 ,20463 ,6801 ,3941 ,8453
2710 ,אום אל-פחם ,32 ,חדרה ,23 ,עפולה ,0 , ,62493 ,6213 ,14795 ,26192 ,6791 ,4699 ,3803
2720 ,טירה ,41 ,השרון ,41 ,נתניה ,0 , ,29742 ,2554 ,6171 ,12488 ,3261 ,2465 ,2803
2730 ,טייבה ,41 ,השרון ,41 ,נתניה ,0 , ,48894 ,4318 ,11050 ,20447 ,5392 ,3929 ,3758
2742 ,זבארגה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,17 ,0 ,0 ,1 ,4 ,12 ,0
2800 ,קרית שמונה ,21 ,צפת ,21 ,צפת ,0 , ,25415 ,1620 ,3883 ,9756 ,2800 ,2575 ,4781
3000 ,ירושלים ,11 ,ירושלים ,11 ,ירושלים ,0 , ,1113625 ,131652 ,277176 ,396724 ,98872 ,72747 ,136454
3400 ,חברון ,77 ,חברון ,11 ,ירושלים ,0 , ,613 ,82 ,193 ,229 ,38 ,24 ,47
3488 ,כפר עציון ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1109 ,107 ,380 ,353 ,128 ,36 ,105
3499 ,בר כוכבא ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,82 ,29 ,20 ,33 ,0 ,0 ,0
3555 ,נתיב הגדוד ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,247 ,21 ,55 ,75 ,39 ,8 ,49
3556 ,אלמוג ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,364 ,30 ,102 ,127 ,55 ,29 ,21
3557 ,קדומים ,73 ,טול כרם ,47 ,כפר סבא ,0 , ,4834 ,476 ,1491 ,1668 ,482 ,207 ,510
3558 ,תומר ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,400 ,56 ,92 ,127 ,34 ,13 ,78
3560 ,אלקנה ,73 ,טול כרם ,349 ,ראש העין ,0 , ,4765 ,552 ,1189 ,1647 ,438 ,252 ,687
3561 ,מגדל עוז ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,432 ,66 ,82 ,189 ,37 ,32 ,26
3563 ,תקוע ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,5058 ,542 ,1830 ,1730 ,469 ,185 ,302
3564 ,כוכב השחר ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,3048 ,472 ,1066 ,1060 ,198 ,118 ,134
3565 ,רימונים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,709 ,57 ,173 ,258 ,83 ,69 ,69
3566 ,יפית ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,306 ,30 ,87 ,105 ,36 ,11 ,37
3567 ,סלעית ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,1622 ,82 ,607 ,438 ,294 ,86 ,115
3568 ,ריחן ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,551 ,53 ,187 ,178 ,62 ,37 ,34
3569 ,מבוא דותן ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,965 ,192 ,341 ,320 ,46 ,22 ,44
3570 ,אריאל ,73 ,טול כרם ,48 ,אריאל ,0 , ,22573 ,1511 ,4121 ,8090 ,2604 ,2231 ,4016
3571 ,שבי שומרון ,72 ,שכם ,41 ,נתניה ,72 ,שומרון ,1173 ,186 ,342 ,418 ,85 ,34 ,108
3572 ,כפר תפוח ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,1533 ,238 ,534 ,561 ,102 ,26 ,72
3573 ,נוה צוף ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1536 ,208 ,426 ,562 ,108 ,81 ,151
3574 ,בית אל ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,6823 ,954 ,1908 ,2518 ,515 ,390 ,538
